id,chars,entities,recurse,time
74288,132,0,1,2.608066
133785,35,0,1,0.014547
280734,35,0,1,0.014425
173191,35,0,1,0.014435
229701,35,0,1,0.014446
74726,132,0,1,0.016917
92582,22,0,1,0.014014
383638,10951,3,25,2.353643
444895,989,1,2,0.058937
442174,83,0,1,0.015759
251300,35,0,1,0.014576
332740,255,1,4,0.071636
371457,16122,1,5,2.15135
190371,35,0,1,0.016099
337479,76,1,3,0.035722
98505,35,0,1,0.014619
419728,76649,7,98,22.218713
296052,44,2,3,0.04938
128750,35,0,1,0.014726
25726,50,0,1,0.015004
379736,1167,3,8,0.169038
260095,35,0,1,0.014682
200380,35,0,1,0.014735
59414,35,0,1,0.014719
54454,35,0,1,0.014772
291677,32,0,1,0.014498
175263,35,0,1,0.014756
180209,35,0,1,0.014883
422057,123,0,1,0.016902
208166,35,0,1,0.014672
53513,35,0,1,0.014665
66001,35,0,1,0.014648
290916,35,0,1,0.014637
449880,729,1,5,0.111165
151984,35,0,1,0.014739
395149,1296,2,4,0.105398
286053,35,0,1,0.015959
387925,33,0,1,0.015632
328862,1550,2,10,0.248324
218624,35,0,1,0.014814
406174,15699,4,7,2.755723
110986,35,0,1,0.014844
289412,35,0,1,0.014643
188197,35,0,1,0.014591
423107,883,3,7,0.140718
222142,35,0,1,0.014884
295403,35,0,1,0.01471
347476,5607,1,5,0.921781
236600,24,0,1,0.014537
374040,2216,3,12,0.620827
356084,5629,4,22,1.07313
276684,35,0,1,0.014816
289012,35,0,1,0.014708
293075,35,0,1,0.014781
394382,7543,5,20,1.375942
214726,35,0,1,0.014818
259355,35,0,1,0.014642
211392,35,0,1,0.015153
45708,35,0,1,0.014945
47368,67,1,2,0.032851
358239,186,1,2,0.035282
311776,10,0,1,0.01389
240933,35,0,1,0.014899
212019,35,0,1,0.014833
183545,35,0,1,0.014853
id,chars,entities,recurse,time
60962,35,0,1,2.115579
129951,35,0,1,0.015407
44841,35,0,1,0.014774
348096,307,1,2,0.318116
118117,35,0,1,0.014888
201083,35,0,1,0.014899
340167,18916,3,8,3.553712
104993,35,0,1,0.015078
246692,35,0,1,0.014823
192672,35,0,1,0.014813
291673,32,0,1,0.014682
423091,1471,5,6,0.187358
48885,35,0,1,0.014774
383600,322,1,3,0.057809
387114,9529,2,136,5.545281
26639,15860,1,7,0.830121
365368,53,0,1,0.015413
156219,35,0,1,0.014941
142734,35,0,1,0.014861
85295,35,0,1,0.014914
302069,35,0,1,0.014893
38264,35,0,1,0.014893
104859,35,0,1,0.015021
181228,35,0,1,0.014937
372642,1678,3,14,0.332561
217462,35,0,1,0.015099
18936,137,1,2,0.036037
378060,1757,2,6,0.195817
311099,147,0,1,0.017902
259839,35,0,1,0.015051
230360,31,0,1,0.014747
429781,1082,5,7,0.19814
42714,35,0,1,0.014983
433619,938,1,3,0.076895
348656,82,0,1,0.016187
156787,35,0,1,0.014888
138709,35,0,1,0.014949
176242,35,0,1,0.014909
140049,35,0,1,0.014904
454575,802,1,5,0.112895
12154,239,1,2,0.038283
230215,31,0,1,0.014767
418235,136,0,1,0.018366
418043,1446,5,7,0.263736
110944,35,0,1,0.015235
346659,14423,3,44,2.645472
366052,63,2,3,0.049883
175129,35,0,1,0.014991
297465,35,0,1,0.014938
415522,136,0,1,0.017631
336642,925,3,7,0.187565
268775,35,0,1,0.015001
274439,35,0,1,0.014947
202836,35,0,1,0.015017
290318,35,0,1,0.014932
228000,33,0,1,0.014923
456327,151,0,1,0.017831
257500,35,0,1,0.015047
130176,35,0,1,0.015257
450171,197,1,2,0.03157
34531,18,0,1,0.014561
266437,35,0,1,0.015029
432923,1001,5,6,0.14687
132032,35,0,1,0.014981
457706,17022,1,37,2.994896
82850,22,0,1,0.015702
460585,0,0,0,2.8e-05
253981,35,0,1,0.015812
335083,2531,4,16,0.519568
298583,35,0,1,0.015027
385233,666,0,1,0.031666
73109,132,0,1,0.017385
291824,32,0,1,0.014784
208838,35,0,1,0.01503
373460,91,0,1,0.016534
432559,970,5,6,0.145277
231485,31,0,1,0.014769
457254,85,0,1,0.016102
126561,16,0,1,0.014327
137148,35,0,1,0.014951
316231,2298,1,31,0.743036
375523,1014,3,7,0.164528
344955,4140,4,17,0.986286
439679,3275,4,14,0.947982
455797,128,0,1,0.017513
69150,35,0,1,0.015028
161622,35,0,1,0.014947
98710,35,0,1,0.016219
438404,417366,7,19,205.407838
283818,35,0,1,0.016193
3868,77,2,3,0.049649
373835,938,2,4,0.093572
124940,35,0,1,0.01501
422844,1417,3,3,0.114214
223186,35,0,1,0.014815
427000,98,0,1,0.016465
107923,35,0,1,0.014794
352483,562,2,5,0.115752
250931,35,0,1,0.015019
272835,35,0,1,0.014882
349489,0,0,0,3.4e-05
287480,35,0,1,0.01506
208586,35,0,1,0.014849
445985,1044,2,6,0.182185
349557,1038,4,8,0.210409
440303,0,0,0,2.7e-05
307802,1361,3,12,0.395205
288849,35,0,1,0.01506
191737,35,0,1,0.015023
219117,35,0,1,0.01491
392323,153031,4,6,40.997375
423517,85,0,1,0.021842
340868,801664,9,15,1827.95042
39822,35,0,1,0.019569
145792,35,0,1,0.01503
246209,35,0,1,0.015005
399611,25,1,2,0.066689
330203,319,0,1,0.04941
282897,35,0,1,0.032287
358271,10386,3,18,1.396968
417933,1354,4,34,0.704209
168086,14,0,1,0.020148
336033,912,3,4,0.09877
299617,35,0,1,0.015225
75049,132,0,1,0.017259
382118,1122,2,4,0.171737
356289,655,3,5,0.114686
339381,94,1,3,0.064371
383047,169,0,1,0.023701
226973,35,0,1,0.014833
343932,33180,10,136,33.308604
216971,35,0,1,0.021726
20012,33062,5,34,9.730654
26042,65,0,1,0.016815
297965,35,0,1,0.014935
322875,322,1,2,0.040924
398224,8316,5,12,0.844089
109867,35,0,1,0.015016
244057,35,0,1,0.015004
390446,909,3,7,0.161024
4483,96,1,2,0.035632
63856,35,0,1,0.015947
214504,35,0,1,0.015892
226830,35,0,1,0.015446
426703,85,0,1,0.016768
11873,64,1,2,0.0339
109033,35,0,1,0.015754
407918,1226,2,8,0.224574
76153,132,0,1,0.017517
272638,35,0,1,0.014922
55953,35,0,1,0.014906
44225,35,0,1,0.014997
280095,35,0,1,0.014958
199145,35,0,1,0.014979
442596,83,0,1,0.016163
389510,51,0,1,0.015488
134077,35,0,1,0.014885
302730,35,0,1,0.015011
88520,22,0,1,0.014474
290548,35,0,1,0.014924
366546,1903,4,10,0.340955
190877,35,0,1,0.015093
225755,35,0,1,0.014941
108324,35,0,1,0.014855
223920,35,0,1,0.015074
324962,85,0,1,0.016126
115518,35,0,1,0.01502
154648,35,0,1,0.014848
218396,35,0,1,0.014829
422600,2521,2,29,0.76045
453513,514,1,3,0.063853
458328,111,0,1,0.016801
383632,2952,0,1,0.165167
397062,0,0,0,2.8e-05
125708,16,0,1,0.014358
305031,35,0,1,0.01509
123026,35,0,1,0.015011
275313,35,0,1,0.014958
123401,35,0,1,0.014983
302499,35,0,1,0.015027
6709,140,2,3,0.054037
260665,35,0,1,0.015045
178363,35,0,1,0.015036
105693,35,0,1,0.014976
7455,1994,3,8,0.384546
199276,35,0,1,0.0149
385073,1103,3,5,0.135887
358878,10957,4,6,1.350722
202957,35,0,1,0.015019
59615,35,0,1,0.014909
433266,85,0,1,0.01628
445652,1092,1,5,0.11531
191970,35,0,1,0.014908
147759,35,0,1,0.014915
115961,35,0,1,0.01495
94941,22,0,1,0.014783
85773,35,0,1,0.015032
352628,4502,3,5,0.320621
240985,35,0,1,0.01505
241791,35,0,1,0.014957
154755,35,0,1,0.014926
36886,35,0,1,0.014973
416078,964,3,6,0.134416
214095,35,0,1,0.014967
453591,931,1,5,0.122508
430343,1192,5,7,0.205515
351827,76,0,1,0.016083
314229,1761,4,5,0.214121
166719,35,0,1,0.015077
209626,35,0,1,0.014985
